name,smiles,cas,source,D_exp_eV,cccbdb_status,cccbdb_diff_pct,burcat_status,burcat_diff_pct,combined_status,best_diff_pct
Fulminic_acid,[C-]#[N+]O,51060-05-0,ATcT_0K,15.2783,n/a,,fail_>2%,-3.442,single_fail,-3.442
Fulvene,C=C1C=CC=C1,497-20-1,ATcT_0K,55.2688,ok_<1%,0.96,ok_<1%,0.964,ok_consensus,0.96
Fulvenone,C1=CC(=C=O)C=C1,4727-22-4,ATcT_0K,54.5389,n/a,,n/a,,n/a,
H2,[H][H],1333-74-0,ATcT,4.478,ok_<1%,0.002,ok_<1%,0.911,ok_consensus,0.002
H2O,O,7732-18-5,ATcT,9.511,ok_<1%,0.015,warn_1-2%,1.017,ok_consensus,0.015
H2O2,OO,7722-84-1,ATcT,11.09,n/a,,ok_<1%,-0.021,ok_one_source,-0.021
H2S,S,7783-06-4,ATcT,7.45,ok_<1%,0.814,fail_>2%,-3.638,one_source_fail,0.814
HBF4_frag,FB(F)(F)F,,JANAF,24.766,n/a,,n/a,,n/a,
HBO2,OB=O,13460-50-9,JANAF,18.528,n/a,,n/a,,n/a,
HBr,[H]Br,10035-10-6,ATcT,3.76,ok_<1%,-0.106,ok_<1%,0.93,ok_consensus,-0.106
HCFC_141b,CC(F)(Cl)Cl,1717-00-6,NIST,28.484,n/a,,n/a,,n/a,
HCN,C#N,74-90-8,ATcT,13.39,warn_1-2%,-1.283,warn_1-2%,-1.283,ok_consensus,-1.283
HCOF,C(=O)F,1493-02-3,ATcT,17.12,ok_<1%,-0.728,ok_<1%,-0.367,ok_consensus,-0.367
HCOOH,OC=O,64-18-6,ATcT,21.29,warn_1-2%,-1.185,warn_1-2%,-1.194,ok_consensus,-1.185
HCl,[H]Cl,7647-01-0,ATcT,4.43,ok_<1%,0.083,ok_<1%,0.978,ok_consensus,0.083
HF,[H]F,7664-39-3,ATcT,5.869,ok_<1%,0.047,ok_<1%,0.674,ok_consensus,0.047
HFC_134a,FCC(F)(F)F,811-97-2,NIST,31.864,n/a,,ok_<1%,0.838,ok_one_source,0.838
HFC_152a,CC(F)F,75-37-6,NIST,30.69,ok_<1%,0.128,ok_<1%,-0.001,ok_consensus,-0.001
HI,[H]I,10034-85-2,ATcT,3.05,ok_<1%,0.081,warn_1-2%,1.427,ok_consensus,0.081
HNCO,N=C=O,75-13-8,ATcT,18.433,warn_1-2%,-1.14,ok_<1%,-0.165,ok_consensus,-0.165
HNO,N=O,14332-28-6,ATcT,8.57,ok_<1%,-0.415,ok_<1%,0.742,ok_consensus,-0.415
HOBr,BrO,13517-11-8,ATcT,6.582,warn_1-2%,-1.033,ok_<1%,0.357,ok_consensus,0.357
HOCN,OC#N,420-05-3,NIST,18.817,n/a,,fail_>2%,-7.941,single_fail,-7.941
HOCl,ClO,7790-92-3,ATcT,6.871,ok_<1%,0.004,ok_<1%,0.006,ok_consensus,0.004
HOSO2,OS(=O)=O,,JANAF,20.871,n/a,,n/a,,n/a,
HSO3F,OS(=O)(=O)F,7789-21-1,JANAF,21.507,ok_<1%,0.005,n/a,,ok_one_source,0.005
Hydrazino,N[NH],13598-46-4,ATcT_0K,14.0383,n/a,,warn_1-2%,1.206,ok_one_source,1.206
Hydrogen_bromide,Br,10035-10-6,ATcT_0K,3.6871,warn_1-2%,1.87,fail_>2%,2.925,one_source_fail,1.87
Hydrogen_chloride,Cl,7647-01-0,ATcT_0K,4.4322,ok_<1%,0.033,ok_<1%,0.928,ok_consensus,0.033
Hydrogen_fluoride,F,7664-39-3,ATcT_0K,5.8661,ok_<1%,0.096,ok_<1%,0.724,ok_consensus,0.096
Hydrogen_iodide,I,10034-85-2,ATcT_0K,3.0487,ok_<1%,0.123,warn_1-2%,1.47,ok_consensus,0.123
Hydrogen_isocyanide,[C-]#[NH+],6914-07-4,ATcT_0K,12.4988,ok_<1%,-0.177,ok_<1%,0.748,ok_consensus,-0.177
Hypobromous_acid,OBr,13517-11-8,ATcT_0K,6.4892,ok_<1%,0.382,warn_1-2%,1.792,ok_consensus,0.382
Hypochlorous_acid,OCl,7790-92-3,ATcT_0K,6.8025,ok_<1%,-0.357,warn_1-2%,1.013,ok_consensus,-0.357
Hypofluorous_acid,OF,14034-79-8,ATcT_0K,6.4728,warn_1-2%,1.537,warn_1-2%,1.487,ok_consensus,1.487
Hypoiodous_acid,OI,14332-21-9,ATcT_0K,6.4646,n/a,,warn_1-2%,1.856,ok_one_source,1.856
I2,II,7553-56-2,ATcT,1.542,ok_<1%,0.032,warn_1-2%,1.669,ok_consensus,0.032
IBr,BrI,7789-33-5,JANAF,1.843,ok_<1%,0.004,ok_<1%,0.067,ok_consensus,0.004
IBr,Br[I],7789-33-5,HH,1.817,warn_1-2%,1.435,warn_1-2%,1.499,ok_consensus,1.435
ICl,Cl[I],7790-99-0,NIST-derived,2.15,warn_1-2%,1.537,n/a,,ok_one_source,1.537
IF,FI,13873-84-2,HH,2.88,warn_1-2%,1.116,warn_1-2%,1.116,ok_consensus,1.116
IF5,F[I](F)(F)(F)F,7783-66-6,JANAF,13.745,fail_>2%,4.489,n/a,,single_fail,4.489
Iodine_monochloride,ClI,7790-99-0,ATcT_0K,2.1491,warn_1-2%,1.579,n/a,,ok_one_source,1.579
Iodobenzene,C1=CC=C(C=C1)I,591-50-4,ATcT_0K,54.6916,n/a,,warn_1-2%,1.362,ok_one_source,1.362
Iodosilane,[SiH3]I,13598-42-0,ATcT_0K,12.3746,warn_1-2%,1.588,n/a,,ok_one_source,1.588
Iodotrifluoromethane,C(F)(F)(F)I,2314-97-8,ATcT_0K,16.9281,n/a,,warn_1-2%,1.154,ok_one_source,1.154
Isobutene,CC(=C)C,115-11-7,ATcT_0K,47.3619,ok_<1%,-0.015,warn_1-2%,1.271,ok_consensus,-0.015
Isocyanic_acid,C(=N)=O,75-13-8,ATcT_0K,18.2494,ok_<1%,-0.145,ok_<1%,0.84,ok_consensus,-0.145
Isocyanoacetylene,C#C[N+]#[C-],66723-45-3,ATcT_0K,24.2115,n/a,,n/a,,n/a,
Isocyanobenzene,[C-]#[N+]C1=CC=CC=C1,931-54-4,ATcT_0K,64.3577,n/a,,n/a,,n/a,
Isocyanomethane,C[N+]#[C-],593-75-9,ATcT_0K,24.4351,warn_1-2%,1.65,ok_<1%,0.631,ok_consensus,0.631
Isofulminic_acid,C#[N+][O-],506-85-4,ATcT_0K,14.6095,n/a,,fail_>2%,5.506,single_fail,5.506
K2,[K][K],,HH,0.514,n/a,,n/a,,n/a,
KBr,[K]Br,7758-02-3,JANAF,3.93,ok_<1%,0.465,n/a,,ok_one_source,0.465
KCl,[K]Cl,7447-40-7,NIST,4.43,ok_<1%,-0.573,n/a,,ok_one_source,-0.573
KF,[K]F,7789-23-3,ATcT,5.144,ok_<1%,-0.236,n/a,,ok_one_source,-0.236
KH,[K][H],7693-26-7,HH,1.76,fail_>2%,8.347,n/a,,single_fail,8.347
KI,[K]I,7681-11-0,JANAF,3.31,n/a,,n/a,,n/a,
KOH,[K]O,1310-58-3,JANAF,8.175,n/a,,n/a,,n/a,
Li2,[Li][Li],14452-59-6,ATcT,1.046,warn_1-2%,1.76,warn_1-2%,1.76,ok_consensus,1.76
Li2O,[Li]O[Li],,JANAF,7.614,n/a,,n/a,,n/a,
LiBr,[Li]Br,7550-35-8,JANAF,4.34,warn_1-2%,1.527,fail_>2%,-71.341,one_source_fail,1.527
LiCl,[Li]Cl,7447-41-8,CCCBDB,4.9,ok_<1%,0.362,ok_<1%,0.339,ok_consensus,0.339
LiF,[Li]F,7789-24-4,CCCBDB,5.97,ok_<1%,0.192,ok_<1%,0.626,ok_consensus,0.192
LiH,[Li][H],7580-67-8,ATcT,2.429,ok_<1%,0.073,warn_1-2%,1.566,ok_consensus,0.073
LiI,[Li]I,10377-51-2,JANAF,3.54,n/a,,fail_>2%,2.884,single_fail,2.884
LiO,[Li][O],,HH,3.44,n/a,,n/a,,n/a,
LiOH,[Li]O,1310-65-2,JANAF,8.921,n/a,,ok_<1%,-0.612,ok_one_source,-0.612
MEK,CC(=O)CC,78-93-3,NIST,52.84,ok_<1%,0.004,ok_<1%,0.027,ok_consensus,0.004
MIBK,CC(C)CC(=O)C,108-10-1,NIST,77.235,n/a,,n/a,,n/a,
MTBE,CC(C)(C)OC,1634-04-4,NIST,69.772,ok_<1%,-0.004,n/a,,ok_one_source,-0.004
MTBE,COC(C)(C)C,1634-04-4,NIST,69.775,ok_<1%,-0.008,n/a,,ok_one_source,-0.008
MeCN,CC#N,75-05-8,NIST,25.77,ok_<1%,0.37,ok_<1%,-0.017,ok_consensus,-0.017
MeOCHO,COC=O,107-31-3,NIST,32.74,ok_<1%,-0.089,ok_<1%,0.515,ok_consensus,-0.089
MePH2,PC,593-54-4,NIST,22.21,n/a,,ok_<1%,-0.264,ok_one_source,-0.264
MeSiH3,[SiH3]C,992-94-9,NIST,25.96,ok_<1%,-0.04,fail_>2%,-6.396,one_source_fail,-0.04
MecPr,C1CC1C,594-11-6,NIST,47.8,n/a,,n/a,,n/a,
Methanediol,C(O)O,463-57-0,ATcT_0K,25.2706,n/a,,n/a,,n/a,
Methoxymethyl,CO[CH2],16520-04-0,ATcT_0K,28.3632,n/a,,warn_1-2%,1.495,ok_one_source,1.495
Methyl_hypochlorite,COCl,593-78-2,ATcT_0K,18.4388,n/a,,n/a,,n/a,
Methyl_nitrite,CON=O,624-91-9,ATcT_0K,24.6271,warn_1-2%,1.305,fail_>2%,-4.301,one_source_fail,1.305
Methylene,[CH2],2465-56-7,ATcT_0K,7.408,fail_>2%,5.288,warn_1-2%,1.275,one_source_fail,1.275
Mg(OH)2,O[Mg]O,1317-43-7,Gurvich,17.029,n/a,,n/a,,n/a,
MgBr,[Mg]Br,,JANAF,2.922,n/a,,n/a,,n/a,
MgBr2,Br[Mg]Br,7789-48-2,JANAF,7.455,n/a,,fail_>2%,-5.805,single_fail,-5.805
MgCl,[Mg]Cl,,HH,3.24,n/a,,n/a,,n/a,
MgCl2,Cl[Mg]Cl,7786-30-3,JANAF,8.185,ok_<1%,-0.109,ok_<1%,-0.109,ok_consensus,-0.109
MgF,[Mg]F,,HH,4.59,n/a,,n/a,,n/a,
MgF2,F[Mg]F,7783-40-6,JANAF,10.85,ok_<1%,-0.526,ok_<1%,-0.526,ok_consensus,-0.526
MgH,[Mg][H],,HH,1.28,n/a,,n/a,,n/a,
MgI,[Mg]I,,Gurvich,2.32,n/a,,n/a,,n/a,
MgO,[Mg]=O,1309-48-4,HH,3.53,fail_>2%,-28.102,fail_>2%,6.881,conflict,6.881
Mn2O3_frag,O=[Mn]O[Mn]=O,1317-34-6,Gurvich,18.956,n/a,,n/a,,n/a,
MnBr2,Br[Mn]Br,12738-03-3,JANAF,7.613,n/a,,n/a,,n/a,
MnCl,[Mn]Cl,,CRC,3.53,n/a,,n/a,,n/a,
MnCl2,Cl[Mn]Cl,,JANAF,8.67,n/a,,n/a,,n/a,
MnF,[Mn]F,,CRC,4.28,n/a,,n/a,,n/a,
MnF2,F[Mn]F,,JANAF,11.11,n/a,,n/a,,n/a,
MnOH,O[Mn],,Gurvich,8.58,n/a,,n/a,,n/a,
"N,N-diethylformamide",CCN(CC)C=O,617-84-5,NIST,71.951,n/a,,n/a,,n/a,
"N,N-dimethylacetamide",CC(=O)N(C)C,127-19-5,NIST,59.86,n/a,,n/a,,n/a,
"N,N-dimethylaniline",CN(C)C1=CC=CC=C1,121-69-7,NIST,88.134,n/a,,n/a,,n/a,
"N,N-dimethylurea",CN(C)C(=O)N,598-94-7,NIST,55.859,warn_1-2%,-1.504,n/a,,ok_one_source,-1.504
N-ethylaniline,CCNC1=CC=CC=C1,103-69-5,NIST,88.605,n/a,,n/a,,n/a,
